,Position,Driver,Car,Time,Laps
1,1,Mika Hakkinen,McLaren Mercedes,1:10.410,12
2,2,David Coulthard,McLaren Mercedes,1:10.795,12
4,3,Rubens Barrichello,Ferrari,1:10.844,12
3,4,Michael Schumacher,Ferrari,1:11.046,11
6,5,Jarno Trulli,Jordan Mugen Honda,1:11.640,12
23,6,Ricardo Zonta,BAR Honda,1:11.647,12
22,7,Jacques Villeneuve,BAR Honda,1:11.649,12
11,8,Giancarlo Fisichella,Benetton Playlife,1:11.658,11
17,9,Mika Salo,Sauber Petronas,1:11.761,10
19,10,Jos Verstappen,Arrows Supertec,1:11.905,12
16,11,Pedro Diniz,Sauber Petronas,1:11.931,11
18,12,Pedro de la Rosa,Arrows Supertec,1:11.978,12
15,13,Nick Heidfeld,Prost Peugeot,1:12.037,12
12,14,Alexander Wurz,Benetton Playlife,1:12.038,10
5,15,Heinz-Harald Frentzen,Jordan Mugen Honda,1:12.043,12
8,16,Johnny Herbert,Jaguar Cosworth,1:12.238,11
14,17,Jean Alesi,Prost Peugeot,1:12.304,12
10,18,Jenson Button,Williams BMW,1:12.337,11
9,19,Ralf Schumacher,Williams BMW,1:12.347,12
20,20,Marc Gene,Minardi Fondmetal,1:12.722,11
7,21,Luciano Burti,Jaguar Cosworth,1:12.822,12
21,22,Gaston Mazzacane,Minardi Fondmetal,1:13.419,12
