,Position,Driver,Car,Lap,Time,Avg Speed
2,1,David Coulthard,McLaren Mercedes,67,1:11.783,216.953
1,2,Mika Hakkinen,McLaren Mercedes,27,1:11.837,216.790
4,3,Rubens Barrichello,Ferrari,68,1:11.887,216.640
22,4,Jacques Villeneuve,BAR Honda,44,1:12.630,214.423
9,5,Ralf Schumacher,Williams BMW,42,1:12.811,213.890
23,6,Ricardo Zonta,BAR Honda,44,1:12.855,213.761
16,7,Pedro Diniz,Sauber Petronas,63,1:12.955,213.468
10,8,Jenson Button,Williams BMW,46,1:12.964,213.442
12,9,Alexander Wurz,Benetton Playlife,65,1:13.317,212.414
18,10,Pedro de la Rosa,Arrows Supertec,25,1:13.490,211.914
15,11,Nick Heidfeld,Prost Peugeot,38,1:13.593,211.617
8,12,Johnny Herbert,Jaguar Cosworth,70,1:13.613,211.560
20,13,Marc Gene,Minardi Fondmetal,41,1:13.626,211.523
17,14,Mika Salo,Sauber Petronas,69,1:13.674,211.385
21,15,Gaston Mazzacane,Minardi Fondmetal,67,1:13.733,211.216
14,16,Jean Alesi,Prost Peugeot,41,1:14.039,210.343
7,17,Luciano Burti,Jaguar Cosworth,39,1:14.098,210.175
19,18,Jos Verstappen,Arrows Supertec,9,1:14.227,209.810
5,19,Heinz-Harald Frentzen,Jordan Mugen Honda,4,1:16.588,203.342
