,Position,Driver,Car,Time,Laps
28,1,Gerhard Berger,Ferrari,1:54.392,12
27,2,Jean Alesi,Ferrari,1:54.631,12
8,3,Mika Hakkinen,McLaren Mercedes,1:55.435,18
2,4,Johnny Herbert,Benetton Renault,1:56.085,8
6,5,David Coulthard,Williams Renault,1:56.254,18
7,6,Mark Blundell,McLaren Mercedes,1:56.622,20
15,7,Eddie Irvine,Jordan Peugeot,1:57.001,17
5,8,Damon Hill,Williams Renault,1:57.768,19
26,9,Olivier Panis,Ligier Mugen Honda,1:58.021,20
30,10,Heinz-Harald Frentzen,Sauber Ford,1:58.148,21
4,11,Mika Salo,Tyrrell Yamaha,1:58.224,15
14,12,Rubens Barrichello,Jordan Peugeot,1:58.293,15
25,13,Martin Brundle,Ligier Mugen Honda,1:58.314,19
29,14,Jean-Christophe Boullion,Sauber Ford,1:58.356,18
3,15,Ukyo Katayama,Tyrrell Yamaha,1:58.551,18
1,16,Michael Schumacher,Benetton Renault,1:59.079,13
23,17,Pedro Lamy,Minardi Ford,1:59.256,18
10,18,Taki Inoue,Footwork Hart,2:00.990,16
24,19,Luca Badoer,Minardi Ford,2:01.013,13
9,20,Massimiliano Papis,Footwork Hart,2:01.685,19
17,21,Andrea Montermini,Pacific Ilmor,2:02.405,12
22,22,Roberto Moreno,Forti Ford,2:03.817,19
16,23,Giovanni Lavaggi,Pacific Ilmor,2:06.407,14
21,24,Pedro Diniz,Forti Ford,2:09.537,15
