,Position,Driver,Car,Lap,Time
6,1,David Coulthard,Williams Renault,11,1:53.412
1,2,Michael Schumacher,Benetton Renault,17,1:53.613
5,3,Damon Hill,Williams Renault,14,1:54.473
28,4,Gerhard Berger,Ferrari,18,1:55.462
15,5,Eddie Irvine,Jordan Peugeot,14,1:55.561
2,6,Johnny Herbert,Benetton Renault,16,1:55.630
7,7,Mark Blundell,McLaren Mercedes,15,1:55.972
30,8,Heinz-Harald Frentzen,Sauber Ford,18,1:56.261
25,9,Martin Brundle,Ligier Mugen Honda,15,1:56.502
26,10,Olivier Panis,Ligier Mugen Honda,16,1:56.696
27,11,Jean Alesi,Ferrari,3,1:56.853
14,12,Rubens Barrichello,Jordan Peugeot,11,1:56.967
3,13,Ukyo Katayama,Tyrrell Yamaha,18,1:57.229
4,14,Mika Salo,Tyrrell Yamaha,17,1:57.420
9,15,Massimiliano Papis,Footwork Hart,17,1:57.866
29,16,Jean-Christophe Boullion,Sauber Ford,15,1:57.927
23,17,Pedro Lamy,Minardi Ford,17,1:58.312
24,18,Luca Badoer,Minardi Ford,14,1:58.395
10,19,Taki Inoue,Footwork Hart,15,1:59.331
17,20,Andrea Montermini,Pacific Ilmor,16,2:00.136
21,21,Pedro Diniz,Forti Ford,17,2:02.546
22,22,Roberto Moreno,Forti Ford,15,2:02.603
16,23,Giovanni Lavaggi,Pacific Ilmor,15,2:04.196
8,24,Mika Hakkinen,McLaren Mercedes,1,2:07.082
