,Position,Driver,Car,Laps,Time,Points
5,1,Jim Clark,Lotus Ford,90,2:14:45.100,9
1,2,Jack Brabham,Brabham Repco,90,+23.600s,6
2,3,Denny Hulme,Brabham Repco,90,+25.700s,4
3,4,Chris Amon,Ferrari,90,+27.300s,3
4,5,Mike  Parkes ,Ferrari,89,+1 lap,2
22,6,Ludovico Scarfiotti,Ferrari,89,+1 lap,1
18,7,Chris   Irwin,Lotus BRM,88,+2 laps,0
10,8,Mike Spence,BRM,87,+3 laps,0
21,9,Bob Anderson,Brabham Climax,86,+4 laps,0
20,10,Jo Siffert,Cooper Maserati,83,+7 laps,0
7,NC,John Surtees,Honda,73,DNF,0
9,NC,Jackie Stewart,BRM,51,DNF,0
12,NC,Jochen Rindt,Cooper Maserati,41,DNF,0
14,NC,Pedro Rodriguez,Cooper Maserati,39,DNF,0
6,NC,Graham Hill,Lotus Ford,11,DNF,0
15,NC,Dan Gurney,Eagle Weslake,8,DNF,0
17,NC,Bruce McLaren,McLaren BRM,1,DNF,0
