,Position,Driver,Car,Lap,Time
1,1,Nelson Piquet,Brabham BMW,48,1:33.275
28,2,Rene Arnoux,Ferrari,44,1:33.373
7,3,Alain Prost,McLaren TAG,50,1:33.580
26,4,Andrea de Cesaris,Ligier Renault,55,1:34.415
11,5,Elio de Angelis,Lotus Renault,54,1:34.525
8,6,Niki Lauda,McLaren TAG,11,1:34.686
2,7,Teo Fabi,Brabham BMW,44,1:35.534
23,8,Eddie  Cheever,Alfa Romeo,27,1:35.849
16,9,Derek Warwick,Renault,12,1:36.000
27,10,Michele Alboreto,Ferrari,20,1:36.053
17,11,Marc Surer,Arrows BMW,25,1:37.089
14,12,Manfred Winkelhock,ATS BMW,11,1:37.319
10,13,Jonathan  Palmer,RAM Hart,44,1:37.472
9,14,Philippe Alliot,RAM Hart,47,1:38.199
20,15,Johnny Cecotto,Toleman Hart,52,1:38.208
5,16,Jacques Laffite,Williams Honda,11,1:38.517
22,17,Riccardo Patrese,Alfa Romeo,3,1:39.389
21,18,Mauro Baldi,Spirit Ford,46,1:39.404
18,19,Thierry Boutsen,Arrows BMW,52,1:39.430
6,20,Keke Rosberg,Williams Honda,2,1:39.769
30,21,Jo Gartner,Osella Alfa Romeo,41,1:40.949
12,22,Nigel Mansell,Lotus Renault,2,1:41.622
