,Position,Driver,Car,Time / Gap,Laps
11,1,Sergio Perez,Red Bull Racing Honda,1:34.701,13
55,2,Carlos Sainz,Ferrari,+0.104s,16
33,3,Max Verstappen,Red Bull Racing Honda,+0.211s,13
4,4,Lando Norris,McLaren Mercedes,+0.244s,13
77,5,Valtteri Bottas,Mercedes,+0.287s,15
44,6,Lewis Hamilton,Mercedes,+0.518s,16
3,7,Daniel Ricciardo,McLaren Mercedes,+0.644s,11
10,8,Pierre Gasly,AlphaTauri Honda,+0.697s,17
16,9,Charles Leclerc,Ferrari,+0.987s,17
31,10,Esteban Ocon,Alpine Renault,+1.010s,10
5,11,Sebastian Vettel,Aston Martin Mercedes,+1.150s,18
63,12,George Russell,Williams Mercedes,+1.322s,9
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.361s,20
6,14,Nicholas Latifi,Williams Mercedes,+1.417s,8
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.551s,16
18,16,Lance Stroll,Aston Martin Mercedes,+1.691s,13
14,17,Fernando Alonso,Alpine Renault,+1.789s,12
22,18,Yuki Tsunoda,AlphaTauri Honda,+1.871s,16
47,19,Mick Schumacher,Haas Ferrari,+1.970s,15
9,20,Nikita Mazepin,Haas Ferrari,+28.755s,15
