,Position,Driver,Car,Q1,Q2,Q3,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:58.717,1:56.559,1:59.765,20
63,2,George Russell,Williams Mercedes,1:59.864,1:56.950,2:00.086,24
44,3,Lewis Hamilton,Mercedes,1:59.218,1:56.229,2:00.099,22
3,4,Daniel Ricciardo,McLaren Mercedes,2:01.583,1:57.127,2:00.864,22
5,5,Sebastian Vettel,Aston Martin Mercedes,2:00.175,1:56.814,2:00.935,23
10,6,Pierre Gasly,AlphaTauri Honda,2:00.387,1:56.440,2:01.164,23
11,7,Sergio Perez,Red Bull Racing Honda,1:59.334,1:56.886,2:02.112,22
77,8,Valtteri Bottas,Mercedes,1:59.870,1:56.295,2:02.502,22
31,9,Esteban Ocon,Alpine Renault,2:01.824,1:57.354,2:03.513,23
4,10,Lando Norris,McLaren Mercedes,1:58.301,1:56.025,DNF,19
16,11,Charles Leclerc,Ferrari,2:00.728,1:57.721,,16
6,12,Nicholas Latifi,Williams Mercedes,2:00.966,1:58.056,,17
55,13,Carlos Sainz,Ferrari,2:01.184,1:58.137,,15
14,14,Fernando Alonso,Alpine Renault,2:01.653,1:58.205,,16
18,15,Lance Stroll,Aston Martin Mercedes,2:01.597,1:58.231,,16
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,2:02.306,,,9
22,17,Yuki Tsunoda,AlphaTauri Honda,2:02.413,,,9
47,18,Mick Schumacher,Haas Ferrari,2:03.973,,,9
7,19,Kimi Räikkönen,Alfa Romeo Racing Ferrari,2:04.452,,,9
9,20,Nikita Mazepin,Haas Ferrari,2:04.939,,,8
