,Position,Driver,Car,Lap,Time
4,1,Gerhard Berger,Benetton Renault,42,1:53.067
5,2,Damon Hill,Williams Renault,40,1:53.441
6,3,Jacques Villeneuve,Williams Renault,38,1:53.587
1,4,Michael Schumacher,Ferrari,41,1:53.905
7,5,Mika Hakkinen,McLaren Mercedes,23,1:54.198
8,6,David Coulthard,McLaren Mercedes,21,1:54.655
3,7,Jean Alesi,Benetton Renault,37,1:54.685
12,8,Martin Brundle,Jordan Peugeot,33,1:55.616
2,9,Eddie Irvine,Ferrari,10,1:55.753
19,10,Mika Salo,Tyrrell Yamaha,42,1:55.854
17,11,Jos Verstappen,Footwork Hart,7,1:56.704
11,12,Rubens Barrichello,Jordan Peugeot,18,1:56.943
18,13,Ukyo Katayama,Tyrrell Yamaha,41,1:57.149
20,14,Pedro Lamy,Minardi Ford,36,1:57.468
16,15,Ricardo Rosset,Footwork Hart,33,1:57.809
10,16,Pedro Diniz,Ligier Mugen Honda,6,1:58.665
