,Position,Driver,Car,Time / Gap,Laps
1,1,Fernando Alonso,McLaren Mercedes,1:22.386,30
2,2,Lewis Hamilton,McLaren Mercedes,+0.823s,33
3,3,Giancarlo Fisichella,Renault,+1.198s,38
10,4,Robert Kubica,Sauber BMW,+1.213s,44
16,5,Nico Rosberg,Williams Toyota,+1.293s,33
5,6,Felipe Massa,Ferrari,+1.336s,27
9,7,Nick Heidfeld,Sauber BMW,+1.435s,38
6,8,Kimi Räikkönen,Ferrari,+1.447s,12
4,9,Heikki Kovalainen,Renault,+1.462s,32
17,10,Alexander Wurz,Williams Toyota,+1.495s,32
12,11,Jarno Trulli,Toyota,+1.533s,39
11,12,Ralf Schumacher,Toyota,+1.536s,29
7,13,Jenson Button,Honda,+1.751s,36
15,14,Mark Webber,Red Bull Renault,+1.942s,31
8,15,Rubens Barrichello,Honda,+2.076s,40
14,16,David Coulthard,Red Bull Renault,+2.219s,31
22,17,Takuma Sato,Super Aguri Honda,+2.942s,27
19,18,Sebastian Vettel,STR Ferrari,+3.073s,36
20,19,Adrian Sutil,Spyker Ferrari,+3.145s,24
18,20,Vitantonio Liuzzi,STR Ferrari,+3.181s,26
21,21,Sakon Yamamoto,Spyker Ferrari,+3.477s,40
23,22,Anthony Davidson,Super Aguri Honda,+3.635s,6
