,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Fernando Alonso,McLaren Mercedes,1:21.718,1:21.356,1:21.997,17
2,2,Lewis Hamilton,McLaren Mercedes,1:21.956,1:21.746,1:22.034,17
5,3,Felipe Massa,Ferrari,1:22.309,1:21.993,1:22.549,17
9,4,Nick Heidfeld,Sauber BMW,1:23.107,1:22.466,1:23.174,18
6,5,Kimi Räikkönen,Ferrari,1:22.673,1:22.369,1:23.183,21
10,6,Robert Kubica,Sauber BMW,1:23.088,1:22.400,1:23.446,18
4,7,Heikki Kovalainen,Renault,1:23.505,1:23.134,1:24.102,24
16,8,Nico Rosberg,Williams Toyota,1:23.333,1:22.748,1:24.382,24
12,9,Jarno Trulli,Toyota,1:23.724,1:23.107,1:24.555,24
7,10,Jenson Button,Honda,1:23.639,1:23.021,1:25.165,23
15,11,Mark Webber,Red Bull Renault,1:23.575,1:23.166,,13
8,12,Rubens Barrichello,Honda,1:23.474,1:23.176,,13
17,13,Alexander Wurz,Williams Toyota,1:23.739,1:23.209,,11
23,14,Anthony Davidson,Super Aguri Honda,1:23.646,1:23.274,,12
3,15,Giancarlo Fisichella,Renault,1:23.559,1:23.325,,13
19,16,Sebastian Vettel,STR Ferrari,1:23.578,1:23.351,,15
22,17,Takuma Sato,Super Aguri Honda,1:23.749,,,5
11,18,Ralf Schumacher,Toyota,1:23.787,,,7
18,19,Vitantonio Liuzzi,STR Ferrari,1:23.886,,,6
14,20,David Coulthard,Red Bull Renault,1:24.019,,,6
20,21,Adrian Sutil,Spyker Ferrari,1:24.699,,,10
21,22,Sakon Yamamoto,Spyker Ferrari,1:25.084,,,8
