,Position,Driver,Car,Lap,Time
12,1,Ayrton Senna,Lotus Honda,72,1:27.685
5,2,Nigel Mansell,Williams Honda,26,1:28.049
6,3,Nelson Piquet,Williams Honda,49,1:28.642
1,4,Alain Prost,McLaren TAG,39,1:28.891
27,5,Michele Alboreto,Ferrari,58,1:28.914
17,6,Derek Warwick,Arrows Megatron,57,1:29.048
28,7,Gerhard Berger,Ferrari,51,1:29.220
2,8,Stefan Johansson,McLaren TAG,38,1:29.758
18,9,Eddie  Cheever,Arrows Megatron,21,1:29.905
7,10,Riccardo Patrese,Brabham BMW,39,1:30.077
16,11,Ivan Capelli,March Ford,48,1:30.502
3,12,Jonathan  Palmer,Tyrrell Ford,20,1:30.817
19,13,Teo Fabi,Benetton Ford,22,1:31.207
30,14,Philippe Alliot,Lola Ford,19,1:31.271
20,15,Thierry Boutsen,Benetton Ford,4,1:31.300
24,16,Alessandro Nannini,Minardi Motori Moderni,10,1:31.393
21,17,Alex Caffi,Osella Alfa Romeo,16,1:31.474
8,18,Andrea de Cesaris,Brabham BMW,16,1:31.511
9,19,Martin Brundle,Zakspeed,44,1:31.619
11,20,Satoru Nakajima,Lotus Honda,61,1:32.265
26,21,Piercarlo Ghinzani,Ligier Megatron,47,1:32.389
25,22,Rene Arnoux,Ligier Megatron,47,1:32.417
4,23,Philippe Streiff,Tyrrell Ford,8,1:32.715
14,24,Pascal Fabre,AGS Ford,8,1:35.699
