,Position,Driver,Car,Time
28,1,Gerhard Berger,Ferrari,1:10.133
27,2,Michele Alboreto,Ferrari,1:10.332
12,3,Ayrton Senna,McLaren Honda,1:10.616
11,4,Alain Prost,McLaren Honda,1:10.736
15,5,Mauricio Gugelmin,March Judd,1:11.745
16,6,Ivan Capelli,March Judd,1:12.006
1,7,Nelson Piquet,Lotus Honda,1:12.040
19,8,Alessandro Nannini,Benetton Ford,1:12.737
17,9,Derek Warwick,Arrows Megatron,1:12.843
2,10,Satoru Nakajima,Lotus Honda,1:12.862
5,11,Nigel Mansell,Williams Judd,1:12.885
20,12,Thierry Boutsen,Benetton Ford,1:12.960
18,13,Eddie  Cheever,Arrows Megatron,1:12.984
22,14,Andrea de Cesaris,Rial Ford,1:13.438
6,15,Riccardo Patrese,Williams Judd,1:13.677
14,16,Philippe Streiff,AGS Ford,1:14.260
3,17,Jonathan  Palmer,Tyrrell Ford,1:14.451
24,18,Luis Perez-Sala,Minardi Ford,1:14.643
23,19,Pierluigi Martini,Minardi Ford,1:14.732
33,20,Stefano Modena,Euro Brun Ford,1:14.888
36,21,Alex Caffi,Dallara Ford,1:14.924
30,22,Philippe Alliot,Lola Ford,1:14.992
29,23,Yannick Dalmas,Lola Ford,1:15.004
4,24,Julian Bailey,Tyrrell Ford,1:15.135
25,25,Rene Arnoux,Ligier Judd,1:15.374
21,26,Nicola Larini,Osella,1:15.527
32,27,Oscar Larrauri,Euro Brun Ford,1:16.026
9,28,Piercarlo Ghinzani,Zakspeed,1:16.043
26,29,Stefan Johansson,Ligier Judd,1:16.110
10,30,Bernd Schneider,Zakspeed,1:18.010
