,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:11.743
11,2,Alain Prost,McLaren Honda,+0.280s
28,3,Gerhard Berger,Ferrari,+0.801s
27,4,Michele Alboreto,Ferrari,+0.859s
16,5,Ivan Capelli,March Judd,+1.364s
15,6,Mauricio Gugelmin,March Judd,+1.497s
20,7,Thierry Boutsen,Benetton Ford,+1.498s
19,8,Alessandro Nannini,Benetton Ford,+1.885s
17,9,Derek Warwick,Arrows Megatron,+2.059s
1,10,Nelson Piquet,Lotus Honda,+2.147s
22,11,Andrea de Cesaris,Rial Ford,+2.380s
5,12,Nigel Mansell,Williams Judd,+2.806s
2,13,Satoru Nakajima,Lotus Honda,+3.053s
14,14,Philippe Streiff,AGS Ford,+3.177s
6,15,Riccardo Patrese,Williams Judd,+3.321s
23,16,Pierluigi Martini,Minardi Ford,+3.795s
36,17,Alex Caffi,Dallara Ford,+3.914s
24,18,Luis Perez-Sala,Minardi Ford,+3.961s
18,19,Eddie  Cheever,Arrows Megatron,+4.050s
33,20,Stefano Modena,Euro Brun Ford,+4.059s
32,21,Oscar Larrauri,Euro Brun Ford,+4.093s
30,22,Philippe Alliot,Lola Ford,+4.131s
29,23,Yannick Dalmas,Lola Ford,+4.517s
4,24,Julian Bailey,Tyrrell Ford,+4.983s
21,25,Nicola Larini,Osella,+5.157s
31,26,Gabriele Tarquini,Coloni Ford,+5.285s
3,27,Jonathan  Palmer,Tyrrell Ford,+5.557s
26,28,Stefan Johansson,Ligier Judd,+5.576s
25,29,Rene Arnoux,Ligier Judd,+5.828s
9,30,Piercarlo Ghinzani,Zakspeed,+7.207s
10,31,Bernd Schneider,Zakspeed,+9.912s
