,Position,Driver,Car,Time / Gap,Laps
9,1,Nico Rosberg,Mercedes,1:14.378,22
8,2,Romain Grosjean,Lotus Renault,+0.661s,13
1,3,Sebastian Vettel,Red Bull Racing Renault,+0.883s,17
3,4,Fernando Alonso,Ferrari,+0.908s,17
10,5,Lewis Hamilton,Mercedes,+0.933s,20
7,6,Kimi Räikkönen,Lotus Renault,+1.002s,19
2,7,Mark Webber,Red Bull Racing Renault,+1.172s,20
14,8,Paul di Resta,Force India Mercedes,+1.216s,17
16,9,Pastor Maldonado,Williams Renault,+1.483s,15
11,10,Nico Hulkenberg,Sauber Ferrari,+1.548s,25
6,11,Sergio Perez,McLaren Mercedes,+1.580s,23
5,12,Jenson Button,McLaren Mercedes,+1.598s,19
18,13,Jean-Eric Vergne,STR Ferrari,+1.598s,21
19,14,Daniel Ricciardo,STR Ferrari,+1.682s,16
15,15,Adrian Sutil,Force India Mercedes,+1.690s,12
4,16,Felipe Massa,Ferrari,+1.727s,8
12,17,Esteban Gutierrez ,Sauber Ferrari,+2.049s,26
17,18,Valtteri Bottas,Williams Renault,+2.555s,17
20,19,Charles Pic,Caterham Renault,+3.524s,20
21,20,Giedo van der Garde,Caterham Renault,+3.724s,20
22,21,Jules Bianchi,Marussia Cosworth,+4.328s,22
23,22,Max Chilton,Marussia Cosworth,+4.850s,22
