,Position,Country,Car,Points
Alain Prost,1,FRA,McLaren Honda,76
Ayrton Senna,2,BRA,McLaren Honda,60
Riccardo Patrese,3,ITA,Williams Renault,40
Nigel Mansell,4,GBR,Ferrari,38
Thierry Boutsen,5,BEL,Williams Renault,37
Alessandro Nannini,6,ITA,Benetton Ford,32
Gerhard Berger,7,AUT,Ferrari,21
Nelson Piquet,8,BRA,Lotus Judd,12
Jean Alesi,9,FRA,Tyrrell Ford,8
Derek Warwick,10,GBR,Arrows Ford,7
Stefan Johansson,11,SWE,Onyx Ford,6
Michele Alboreto,11,ITA,Lola Lamborghini,6
Eddie  Cheever,11,USA,Arrows Ford,6
Johnny Herbert,14,GBR,Tyrrell Ford,5
Pierluigi Martini,15,ITA,Minardi Ford,5
Andrea de Cesaris,16,ITA,Dallara Ford,4
Mauricio Gugelmin,16,BRA,March Judd,4
Stefano Modena,16,ITA,Brabham Judd,4
Alex Caffi,19,ITA,Dallara Ford,4
Martin Brundle,20,GBR,Brabham Judd,4
Christian Danner,21,GER,Rial Ford,3
Satoru Nakajima,21,JPN,Lotus Judd,3
Rene Arnoux,23,FRA,Ligier Ford,2
Emanuele Pirro,23,ITA,Benetton Ford,2
Jonathan  Palmer,25,GBR,Tyrrell Ford,2
Gabriele Tarquini,26,ITA,AGS Ford,1
Philippe Alliot,26,FRA,Lola Lamborghini,1
Olivier Grouillard,26,FRA,Ligier Ford,1
Luis Perez-Sala,26,ESP,Minardi Ford,1
