,Position,Country,Car,Points
Lewis Hamilton,1,GBR,Mercedes,408
Sebastian Vettel,2,GER,Ferrari,320
Kimi Räikkönen,3,FIN,Ferrari,251
Max Verstappen,4,NED,Red Bull Racing TAG Heuer,249
Valtteri Bottas,5,FIN,Mercedes,247
Daniel Ricciardo,6,AUS,Red Bull Racing TAG Heuer,170
Nico Hulkenberg,7,GER,Renault,69
Sergio Perez,8,MEX,Force India Mercedes,62
Kevin Magnussen,9,DEN,Haas Ferrari,56
Carlos Sainz,10,ESP,Renault,53
Fernando Alonso,11,ESP,McLaren Renault,50
Esteban Ocon,12,FRA,Force India Mercedes,49
Charles Leclerc,13,MON,Sauber Ferrari,39
Romain Grosjean,14,FRA,Haas Ferrari,37
Pierre Gasly,15,FRA,Scuderia Toro Rosso Honda,29
Stoffel Vandoorne,16,BEL,McLaren Renault,12
Marcus Ericsson,17,SWE,Sauber Ferrari,9
Lance Stroll,18,CAN,Williams Mercedes,6
Brendon Hartley,19,NZL,Scuderia Toro Rosso Honda,4
Sergey Sirotkin,20,RUS,Williams Mercedes,1
