,Position,Country,Car,Points
James Hunt,1,GBR,McLaren Ford,69
Niki Lauda,2,AUT,Ferrari,68
Jody Scheckter,3,RSA,Tyrrell Ford,49
Patrick Depailler,4,FRA,Tyrrell Ford,39
Clay Regazzoni,5,SUI,Ferrari,31
Mario Andretti,6,USA,Lotus Ford,22
John Watson,7,GBR,Penske Ford,20
Jacques Laffite,7,FRA,Ligier Matra,20
Jochen Mass,9,GER,McLaren Ford,19
Gunnar Nilsson,10,SWE,Lotus Ford,11
Ronnie Peterson,11,SWE,March Ford,10
Tom Pryce,11,GBR,Shadow Ford,10
Hans-Joachim Stuck,13,GER,March Ford,8
Carlos Pace,14,BRA,Brabham Alfa Romeo,7
Alan  Jones,14,AUS,Surtees Ford,7
Carlos Reutemann,16,ARG,Ferrari,3
Emerson Fittipaldi,16,BRA,Fittipaldi Ford,3
Chris Amon,18,NZL,Wolf-Williams,2
Rolf Stommelen,19,GER,Brabham Alfa Romeo,1
Vittorio Brambilla,19,ITA,March Ford,1
