,Position,Country,Car,Points
Niki Lauda,1,AUT,Ferrari,72
Jody Scheckter,2,RSA,Wolf Ford,55
Mario Andretti,3,USA,Lotus Ford,47
Carlos Reutemann,4,ARG,Ferrari,42
James Hunt,5,GBR,McLaren Ford,40
Jochen Mass,6,GER,McLaren Ford,25
Alan  Jones,7,AUS,Shadow Ford,22
Gunnar Nilsson,8,SWE,Lotus Ford,20
Patrick Depailler,8,FRA,Tyrrell Ford,20
Jacques Laffite,10,FRA,Ligier Matra,18
Hans-Joachim Stuck,11,GER,Brabham Alfa Romeo,12
Emerson Fittipaldi,12,BRA,Fittipaldi Ford,11
John Watson,13,GBR,Brabham Alfa Romeo,9
Ronnie Peterson,14,SWE,Tyrrell Ford,7
Carlos Pace,15,BRA,Brabham Alfa Romeo,6
Vittorio Brambilla,15,ITA,Surtees Ford,6
Patrick Tambay,17,FRA,Ensign Ford,5
Clay Regazzoni,17,SUI,Ensign Ford,5
Renzo Zorzi,19,ITA,Shadow Ford,1
Jean-Pierre Jarier,19,FRA,Ligier Matra,1
Riccardo Patrese,19,ITA,Shadow Ford,1
