,Position,Country,Car,Points
Jacques Villeneuve,1,CAN,Williams Renault,81
Michael Schumacher,DQ,GER,Ferrari,78
Heinz-Harald Frentzen,2,GER,Williams Renault,42
David Coulthard,3,GBR,McLaren Mercedes,36
Jean Alesi,4,FRA,Benetton Renault,36
Gerhard Berger,5,AUT,Benetton Renault,27
Mika Hakkinen,6,FIN,McLaren Mercedes,27
Eddie Irvine,7,GBR,Ferrari,24
Giancarlo Fisichella,8,ITA,Jordan Peugeot,20
Olivier Panis,9,FRA,Prost Mugen Honda,16
Johnny Herbert,10,GBR,Sauber Petronas,15
Ralf Schumacher,11,GER,Jordan Peugeot,13
Damon Hill,12,GBR,Arrows Yamaha,7
Rubens Barrichello,13,BRA,Stewart Ford,6
Alexander Wurz,14,AUT,Benetton Renault,4
Jarno Trulli,15,ITA,Prost Mugen Honda,3
Mika Salo,16,FIN,Tyrrell Ford,2
Pedro Diniz,17,BRA,Arrows Yamaha,2
Shinji Nakano,18,JPN,Prost Mugen Honda,2
Nicola Larini,19,ITA,Sauber Petronas,1
