,Position,Country,Car,Points
Lewis Hamilton,1,GBR,Mercedes,363
Sebastian Vettel,2,GER,Ferrari,317
Valtteri Bottas,3,FIN,Mercedes,305
Kimi Räikkönen,4,FIN,Ferrari,205
Daniel Ricciardo,5,AUS,Red Bull Racing TAG Heuer,200
Max Verstappen,6,NED,Red Bull Racing TAG Heuer,168
Sergio Perez,7,MEX,Force India Mercedes,100
Esteban Ocon,8,FRA,Force India Mercedes,87
Carlos Sainz,9,ESP,Renault,54
Nico Hulkenberg,10,GER,Renault,43
Felipe Massa,11,BRA,Williams Mercedes,43
Lance Stroll,12,CAN,Williams Mercedes,40
Romain Grosjean,13,FRA,Haas Ferrari,28
Kevin Magnussen,14,DEN,Haas Ferrari,19
Fernando Alonso,15,ESP,McLaren Honda,17
Stoffel Vandoorne,16,BEL,McLaren Honda,13
Jolyon Palmer,17,GBR,Renault,8
Pascal Wehrlein,18,GER,Sauber Ferrari,5
Daniil Kvyat,19,RUS,Toro Rosso,5
Marcus Ericsson,20,SWE,Sauber Ferrari,0
Pierre Gasly,21,FRA,Toro Rosso,0
Antonio Giovinazzi,22,ITA,Sauber Ferrari,0
Brendon Hartley,23,NZL,Toro Rosso,0
