,Position,Country,Car,Points
Jackie Stewart,1,GBR,Tyrrell Ford,71
Emerson Fittipaldi,2,BRA,Lotus Ford,55
Ronnie Peterson,3,SWE,Lotus Ford,52
Francois  Cevert ,4,FRA,Tyrrell Ford,47
Peter   Revson,5,USA,McLaren Ford,38
Denny Hulme,6,NZL,McLaren Ford,26
Carlos Reutemann,7,ARG,Brabham Ford,16
James Hunt,8,GBR,March Ford,14
Jacky Ickx,9,BEL,Iso Marlboro Ford,12
Jean-Pierre Beltoise,10,FRA,BRM,9
Carlos Pace,11,BRA,Surtees Ford,7
Arturo Merzario,12,ITA,Ferrari,6
George  Follmer ,13,USA,Shadow Ford,5
Jackie Oliver,14,GBR,Shadow Ford,4
Andrea de Adamich ,15,ITA,Brabham Ford,3
Wilson Fittipaldi,15,BRA,Brabham Ford,3
Niki Lauda,17,AUT,BRM,2
Clay Regazzoni,17,SUI,BRM,2
Chris Amon,19,NZL,Tyrrell Ford,1
Gijs van Lennep,19,NED,Iso Marlboro Ford,1
Howden  Ganley ,19,NZL,Iso Marlboro Ford,1
