,Position,Country,Car,Points
Sebastian Vettel,1,GER,RBR Renault,256
Fernando Alonso,2,ESP,Ferrari,252
Mark Webber,3,AUS,RBR Renault,242
Lewis Hamilton,4,GBR,McLaren Mercedes,240
Jenson Button,5,GBR,McLaren Mercedes,214
Felipe Massa,6,BRA,Ferrari,144
Nico Rosberg,7,GER,Mercedes,142
Robert Kubica,8,POL,Renault,136
Michael Schumacher,9,GER,Mercedes,72
Rubens Barrichello,10,BRA,Williams Cosworth,47
Adrian Sutil,11,GER,Force India Mercedes,47
Kamui Kobayashi,12,JPN,Sauber Ferrari,32
Vitaly Petrov,13,RUS,Renault,27
Nico Hulkenberg,14,GER,Williams Cosworth,22
Vitantonio Liuzzi,15,ITA,Force India Mercedes,21
Sebastien Buemi,16,SUI,STR Ferrari,8
Pedro de la Rosa,17,ESP,Sauber Ferrari,6
Nick Heidfeld,18,GER,Sauber Ferrari,6
Jaime Alguersuari,19,ESP,STR Ferrari,5
Heikki Kovalainen,20,FIN,Lotus Cosworth,0
Jarno Trulli,21,ITA,Lotus Cosworth,0
Karun Chandhok,22,IND,HRT Cosworth,0
Bruno Senna,23,BRA,HRT Cosworth,0
Lucas di Grassi,24,BRA,Virgin Cosworth,0
Timo Glock,25,GER,Virgin Cosworth,0
Sakon Yamamoto,26,JPN,HRT Cosworth,0
Christian Klien,27,AUT,HRT Cosworth,0
