,Position,Country,Car,Points
Nico Rosberg,1,GER,Mercedes,385
Lewis Hamilton,2,GBR,Mercedes,380
Daniel Ricciardo,3,AUS,Red Bull Racing TAG Heuer,256
Sebastian Vettel,4,GER,Ferrari,212
Max Verstappen,5,NED,Red Bull Racing TAG Heuer,204
Kimi Räikkönen,6,FIN,Ferrari,186
Sergio Perez,7,MEX,Force India Mercedes,101
Valtteri Bottas,8,FIN,Williams Mercedes,85
Nico Hulkenberg,9,GER,Force India Mercedes,72
Fernando Alonso,10,ESP,McLaren Honda,54
Felipe Massa,11,BRA,Williams Mercedes,53
Carlos Sainz,12,ESP,Toro Rosso Ferrari,46
Romain Grosjean,13,FRA,Haas Ferrari,29
Daniil Kvyat,14,RUS,Toro Rosso Ferrari,25
Jenson Button,15,GBR,McLaren Honda,21
Kevin Magnussen,16,DEN,Renault,7
Felipe Nasr,17,BRA,Sauber Ferrari,2
Jolyon Palmer,18,GBR,Renault,1
Pascal Wehrlein,19,GER,MRT Mercedes,1
Stoffel Vandoorne,20,BEL,McLaren Honda,1
Esteban Gutierrez ,21,MEX,Haas Ferrari,0
Marcus Ericsson,22,SWE,Sauber Ferrari,0
Esteban Ocon,23,FRA,MRT Mercedes,0
Rio Haryanto,24,INA,MRT Mercedes,0
