,Position,Country,Car,Points
John Surtees,1,GBR,Ferrari,40
Graham Hill,2,GBR,BRM,39
Jim Clark,3,GBR,Lotus Climax,32
Lorenzo Bandini,4,ITA,Ferrari,23
Richie Ginther,4,USA,BRM,23
Dan Gurney,6,USA,Brabham Climax,19
Bruce McLaren,7,NZL,Cooper Climax,13
Peter  Arundell ,8,GBR,Lotus Climax,11
Jack Brabham,8,AUS,Brabham Climax,11
Jo Siffert,10,SUI,Brabham BRM,7
Bob Anderson,11,GBR,Brabham Climax,5
Tony Maggs,12,RSA,BRM,4
Mike Spence,12,GBR,Lotus Climax,4
Innes Ireland,12,GBR,BRP BRM,4
Jo Bonnier,15,SWE,Brabham Climax,3
Chris Amon,16,NZL,Lotus BRM,2
Maurice  Trintignant,16,FRA,BRM,2
Walt   Hansgen,16,USA,Lotus Climax,2
Mike Hailwood,19,GBR,Lotus BRM,1
Phil Hill,19,USA,Cooper Climax,1
Trevor  Taylor ,19,GBR,BRP BRM,1
Pedro Rodriguez,19,MEX,Ferrari,1
