,Position,Country,Car,Points
Michael Schumacher,1,GER,Benetton Ford,92
Damon Hill,2,GBR,Williams Renault,91
Gerhard Berger,3,AUT,Ferrari,41
Mika Hakkinen,4,FIN,McLaren Peugeot,26
Jean Alesi,5,FRA,Ferrari,24
Rubens Barrichello,6,BRA,Jordan Hart,19
Martin Brundle,7,GBR,McLaren Peugeot,16
David Coulthard,8,GBR,Williams Renault,14
Nigel Mansell,9,GBR,Williams Renault,13
Jos Verstappen,10,NED,Benetton Ford,10
Olivier Panis,11,FRA,Ligier Renault,9
Mark Blundell,12,GBR,Tyrrell Yamaha,8
Heinz-Harald Frentzen,13,GER,Sauber Mercedes,7
Nicola Larini,14,ITA,Ferrari,6
Christian Fittipaldi,15,BRA,Footwork Ford,6
Eddie Irvine,16,GBR,Jordan Hart,6
Ukyo Katayama,17,JPN,Tyrrell Yamaha,5
Eric Bernard,18,FRA,Lotus Mugen Honda,4
Karl Wendlinger,19,AUT,Sauber Mercedes,4
Andrea de Cesaris,20,ITA,Sauber Mercedes,4
Pierluigi Martini,21,ITA,Minardi Ford,4
Gianni Morbidelli,22,ITA,Footwork Ford,3
Erik Comas,23,FRA,Larrousse Ford,2
Michele Alboreto,24,ITA,Minardi Ford,1
Jyrki Jarvilehto,25,FIN,Sauber Mercedes,1
