,Position,Country,Car,Points
Juan Manuel Fangio,1,ARG,Ferrari,30
Stirling Moss,2,GBR,Maserati,27
Peter Collins,3,GBR,Ferrari,25
Jean Behra,4,FRA,Maserati,22
Pat Flaherty,5,USA,Watson Offenhauser,8
Eugenio Castellotti,6,ITA,Ferrari,7.5
Sam Hanks,7,USA,Kurtis Kraft Offenhauser,6
Paul Frere,7,BEL,Ferrari,6
Paco  Godia,7,ESP,Maserati,6
Jack  Fairman,10,GBR,Connaught Alta,5
Mike Hawthorn,11,GBR,BRM,4
Luigi Musso,11,ITA,Ferrari,4
Don  Freeland,11,USA,Phillips Offenhauser,4
Ron Flockhart,11,GBR,Connaught Alta,4
Johnnie  Parsons,15,USA,Kuzma Offenhauser,3
Harry Schell,15,USA,Vanwall,3
Alfonso de Portago ,15,ESP,Ferrari,3
Cesare Perdisa,15,ITA,Maserati,3
Olivier  Gendebien,19,BEL,Ferrari,2
Hermano da Silva Ramos,19,BRA,Gordini,2
Dick Rathmann,19,USA,Kurtis Kraft Offenhauser,2
Luigi  Villoresi,19,ITA,Maserati,2
Horace  Gould ,19,GBR,Maserati,2
Louis  Rosier,19,FRA,Maserati,2
Gerino  Gerini ,25,ITA,Maserati,1.5
Chico Landi,25,BRA,Maserati,1.5
Paul Russo,27,USA,Kurtis Kraft Novi,1
