,Position,Country,Car,Points
Graham Hill,1,GBR,Lotus Ford,48
Jackie Stewart,2,GBR,Matra Ford,36
Denny Hulme,3,NZL,McLaren Ford,33
Jacky Ickx,4,BEL,Ferrari,27
Bruce McLaren,5,NZL,McLaren Ford,22
Pedro Rodriguez,6,MEX,BRM,18
Jo Siffert,7,SUI,Lotus Ford,12
John Surtees,7,GBR,Honda,12
Jean-Pierre Beltoise,9,FRA,Matra,11
Chris Amon,10,NZL,Ferrari,10
Jim Clark,11,GBR,Lotus Ford,9
Jochen Rindt,12,AUT,Brabham Repco,8
Richard Attwood,13,GBR,BRM,6
Johnny  Servoz-Gavin ,13,FRA,Matra Ford,6
Jackie Oliver,13,GBR,Lotus Ford,6
Ludovico Scarfiotti,13,ITA,Cooper BRM,6
Lucien Bianchi,17,BEL,Cooper BRM,5
Vic  Elford ,17,GBR,Cooper BRM,5
Brian   Redman,19,GBR,Cooper BRM,4
Piers   Courage,19,GBR,BRM,4
Dan Gurney,21,USA,McLaren Ford,3
Jo Bonnier,21,SWE,Honda,3
Silvio  Moser ,23,SUI,Brabham Repco,2
Jack Brabham,23,AUS,Brabham Repco,2
