,Position,Country,Car,Points
Lewis Hamilton,1,GBR,Mercedes,384
Nico Rosberg,2,GER,Mercedes,317
Daniel Ricciardo,3,AUS,Red Bull Racing Renault,238
Valtteri Bottas,4,FIN,Williams Mercedes,186
Sebastian Vettel,5,GER,Red Bull Racing Renault,167
Fernando Alonso,6,ESP,Ferrari,161
Felipe Massa,7,BRA,Williams Mercedes,134
Jenson Button,8,GBR,McLaren Mercedes,126
Nico Hulkenberg,9,GER,Force India Mercedes,96
Sergio Perez,10,MEX,Force India Mercedes,59
Kevin Magnussen,11,DEN,McLaren Mercedes,55
Kimi Räikkönen,12,FIN,Ferrari,55
Jean-Eric Vergne,13,FRA,STR Renault,22
Romain Grosjean,14,FRA,Lotus Renault,8
Daniil Kvyat,15,RUS,STR Renault,8
Pastor Maldonado,16,VEN,Lotus Renault,2
Jules Bianchi,17,FRA,Marussia Ferrari,2
Adrian Sutil,18,GER,Sauber Ferrari,0
Marcus Ericsson,19,SWE,Caterham Renault,0
Esteban Gutierrez ,20,MEX,Sauber Ferrari,0
Max Chilton,21,GBR,Marussia Ferrari,0
Kamui Kobayashi,22,JPN,Caterham Renault,0
Will Stevens,23,GBR,Caterham Renault,0
