,Position,Country,Car,Points
Sebastian Vettel,1,GER,Red Bull Racing Renault,397
Fernando Alonso,2,ESP,Ferrari,242
Mark Webber,3,AUS,Red Bull Racing Renault,199
Lewis Hamilton,4,GBR,Mercedes,189
Kimi Räikkönen,5,FIN,Lotus Renault,183
Nico Rosberg,6,GER,Mercedes,171
Romain Grosjean,7,FRA,Lotus Renault,132
Felipe Massa,8,BRA,Ferrari,112
Jenson Button,9,GBR,McLaren Mercedes,73
Nico Hulkenberg,10,GER,Sauber Ferrari,51
Sergio Perez,11,MEX,McLaren Mercedes,49
Paul di Resta,12,GBR,Force India Mercedes,48
Adrian Sutil,13,GER,Force India Mercedes,29
Daniel Ricciardo,14,AUS,STR Ferrari,20
Jean-Eric Vergne,15,FRA,STR Ferrari,13
Esteban Gutierrez ,16,MEX,Sauber Ferrari,6
Valtteri Bottas,17,FIN,Williams Renault,4
Pastor Maldonado,18,VEN,Williams Renault,1
Jules Bianchi,19,FRA,Marussia Cosworth,0
Charles Pic,20,FRA,Caterham Renault,0
Heikki Kovalainen,21,FIN,Lotus Renault,0
Giedo van der Garde,22,NED,Caterham Renault,0
Max Chilton,23,GBR,Marussia Cosworth,0
