,Position,Country,Car,Points
Alberto Ascari,1,ITA,Ferrari,36
Nino Farina,2,ITA,Ferrari,24
Piero  Taruffi,3,ITA,Ferrari,22
Rudi  Fischer ,4,SUI,Ferrari,10
Mike Hawthorn,4,GBR,Cooper Bristol,10
Robert  Manzon,6,FRA,Gordini,9
Troy Ruttman,7,USA,Kuzma Offenhauser,8
Luigi  Villoresi,7,ITA,Ferrari,8
Jose Froilan Gonzalez,9,ARG,Maserati,6.5
Jim Rathmann,10,USA,Kurtis Kraft Offenhauser,6
Jean Behra,10,FRA,Gordini,6
Sam Hanks,12,USA,Kurtis Kraft Offenhauser,4
Ken  Wharton,13,GBR,,3
Duane Carter,13,USA,Lesovsky Offenhauser,3
Dennis Poore,13,GBR,Connaught Lea Francis,3
Alan Brown,16,GBR,Cooper Bristol,2
Art Cross,16,USA,Kurtis Kraft Offenhauser,2
Paul Frere,16,BEL,Simca-Gordini,2
Maurice  Trintignant,16,FRA,Gordini,2
Eric Thompson,16,GBR,Connaught Lea Francis,2
Felice  Bonetto,16,ITA,Maserati,2
Bill  Vukovich ,22,USA,Kurtis Kraft Offenhauser,1
