,Position,Country,Car,Points
Fernando Alonso,1,ESP,Renault,134
Michael Schumacher,2,GER,Ferrari,121
Felipe Massa,3,BRA,Ferrari,80
Giancarlo Fisichella,4,ITA,Renault,72
Kimi Räikkönen,5,FIN,McLaren Mercedes,65
Jenson Button,6,GBR,Honda,56
Rubens Barrichello,7,BRA,Honda,30
Juan Pablo Montoya,8,COL,McLaren Mercedes,26
Nick Heidfeld,9,GER,Sauber BMW,23
Ralf Schumacher,10,GER,Toyota,20
Pedro de la Rosa,11,ESP,McLaren Mercedes,19
Jarno Trulli,12,ITA,Toyota,15
David Coulthard,13,GBR,RBR Ferrari,14
Mark Webber,14,AUS,Williams Cosworth,7
Jacques Villeneuve,15,CAN,Sauber BMW,7
Robert Kubica,16,POL,Sauber BMW,6
Nico Rosberg,17,GER,Williams Cosworth,4
Christian Klien,18,AUT,RBR Ferrari,2
Vitantonio Liuzzi,19,ITA,STR Cosworth,1
Scott Speed,20,USA,STR Cosworth,0
Tiago Monteiro,21,POR,MF1 Toyota,0
Christijan Albers,22,NED,MF1 Toyota,0
Takuma Sato,23,JPN,Super Aguri Honda,0
Robert Doornbos,24,NED,RBR Ferrari,0
Yuji Ide,25,JPN,Super Aguri Honda,0
Sakon Yamamoto,26,JPN,Super Aguri Honda,0
Franck Montagny,27,FRA,Super Aguri Honda,0
