,Position,Country,Car,Points
Lewis Hamilton,1,GBR,Mercedes,381
Nico Rosberg,2,GER,Mercedes,322
Sebastian Vettel,3,GER,Ferrari,278
Kimi Räikkönen,4,FIN,Ferrari,150
Valtteri Bottas,5,FIN,Williams Mercedes,136
Felipe Massa,6,BRA,Williams Mercedes,121
Daniil Kvyat,7,RUS,Red Bull Racing Renault,95
Daniel Ricciardo,8,AUS,Red Bull Racing Renault,92
Sergio Perez,9,MEX,Force India Mercedes,78
Nico Hulkenberg,10,GER,Force India Mercedes,58
Romain Grosjean,11,FRA,Lotus Mercedes,51
Max Verstappen,12,NED,STR Renault,49
Felipe Nasr,13,BRA,Sauber Ferrari,27
Pastor Maldonado,14,VEN,Lotus Mercedes,27
Carlos Sainz,15,ESP,STR Renault,18
Jenson Button,16,GBR,McLaren Honda,16
Fernando Alonso,17,ESP,McLaren Honda,11
Marcus Ericsson,18,SWE,Sauber Ferrari,9
Roberto Merhi,19,ESP,Marussia Ferrari,0
Alexander Rossi,20,USA,Marussia Ferrari,0
Will Stevens,21,GBR,Marussia Ferrari,0
