,Position,Country,Car,Points
Jochen Rindt,1,AUT,Lotus Ford,45
Jacky Ickx,2,BEL,Ferrari,40
Clay Regazzoni,3,SUI,Ferrari,33
Denny Hulme,4,NZL,McLaren Ford,27
Jack Brabham,5,AUS,Brabham Ford,25
Jackie Stewart,5,GBR,Tyrrell Ford,25
Pedro Rodriguez,7,MEX,BRM,23
Chris Amon,7,NZL,March Ford,23
Jean-Pierre Beltoise,9,FRA,Matra,16
Emerson Fittipaldi,10,BRA,Lotus Ford,12
Rolf Stommelen,11,GER,Brabham Ford,10
Henri Pescarolo,12,FRA,Matra,8
Graham Hill,13,GBR,Lotus Ford,7
Bruce McLaren,14,NZL,McLaren Ford,6
Mario Andretti,15,USA,March Ford,4
Reine   Wisell,15,SWE,Lotus Ford,4
Ignazio  Giunti ,17,ITA,Ferrari,3
John Surtees,17,GBR,Surtees Ford,3
John   Miles,19,GBR,Lotus Ford,2
Johnny  Servoz-Gavin ,19,FRA,March Ford,2
Jackie Oliver,19,GBR,BRM,2
Dan Gurney,22,USA,McLaren Ford,1
Francois  Cevert ,22,FRA,March Ford,1
Peter  Gethin ,22,GBR,McLaren Ford,1
Derek Bell,22,GBR,Surtees Ford,1
