,Position,Country,Car,Points
Graham Hill,1,GBR,BRM,42
Jim Clark,2,GBR,Lotus Climax,30
Bruce McLaren,3,NZL,Cooper Climax,27
John Surtees,4,GBR,Lola Climax,19
Dan Gurney,5,USA,Porsche,15
Phil Hill,6,USA,Ferrari,14
Tony Maggs,7,RSA,Cooper Climax,13
Richie Ginther,8,USA,BRM,10
Jack Brabham,9,AUS,Brabham Climax,9
Trevor  Taylor ,10,GBR,Lotus Climax,6
Giancarlo Baghetti,11,ITA,Ferrari,5
Lorenzo Bandini,12,ITA,Ferrari,4
Ricardo  Rodriguez ,12,MEX,Ferrari,4
Willy Mairesse,14,BEL,Ferrari,3
Jo Bonnier,14,SWE,Porsche,3
Innes Ireland,16,GBR,Lotus Climax,2
Carel Godin de Beaufort ,16,NED,Porsche,2
Masten Gregory,18,USA,Lotus BRM,1
Neville Lederle,18,RSA,Lotus Climax,1
