,Position,Country,Car,Points
Nelson Piquet,1,BRA,Brabham Ford,50
Carlos Reutemann,2,ARG,Williams Ford,49
Alan  Jones,3,AUS,Williams Ford,46
Jacques Laffite,4,FRA,Ligier Matra,44
Alain Prost,5,FRA,Renault,43
John Watson,6,GBR,McLaren Ford,27
Gilles Villeneuve,7,CAN,Ferrari,25
Elio de Angelis,8,ITA,Lotus Ford,14
Rene Arnoux,9,FRA,Renault,11
Hector Rebaque,9,MEX,Brabham Ford,11
Riccardo Patrese,11,ITA,Arrows Ford,10
Eddie  Cheever,11,USA,Tyrrell Ford,10
Didier Pironi,13,FRA,Ferrari,9
Nigel Mansell,14,GBR,Lotus Ford,8
Bruno Giacomelli,15,ITA,Alfa Romeo,7
Marc Surer,16,SUI,Theodore Ford,4
Mario Andretti,17,USA,Alfa Romeo,3
Patrick Tambay,18,FRA,Ligier Matra,1
Andrea de Cesaris,18,ITA,McLaren Ford,1
Slim Borgudd,18,SWE,ATS Ford,1
Eliseo Salazar,18,CHI,Ensign Ford,1
