,Position,Country,Car,Points
Fernando Alonso,1,ESP,Renault,133
Kimi Räikkönen,2,FIN,McLaren Mercedes,112
Michael Schumacher,3,GER,Ferrari,62
Juan Pablo Montoya,4,COL,McLaren Mercedes,60
Giancarlo Fisichella,5,ITA,Renault,58
Ralf Schumacher,6,GER,Toyota,45
Jarno Trulli,7,ITA,Toyota,43
Rubens Barrichello,8,BRA,Ferrari,38
Jenson Button,9,GBR,BAR Honda,37
Mark Webber,10,AUS,Williams BMW,36
Nick Heidfeld,11,GER,Williams BMW,28
David Coulthard,12,GBR,RBR Cosworth,24
Felipe Massa,13,BRA,Sauber Petronas,11
Jacques Villeneuve,14,CAN,Sauber Petronas,9
Christian Klien,15,AUT,RBR Cosworth,9
Tiago Monteiro,16,POR,Jordan Toyota,7
Alexander Wurz,17,AUT,McLaren Mercedes,6
Narain Karthikeyan,18,IND,Jordan Toyota,5
Christijan Albers,19,NED,Minardi Cosworth,4
Pedro de la Rosa,20,ESP,McLaren Mercedes,4
Patrick Friesacher ,21,AUT,Minardi Cosworth,3
Antonio Pizzonia,22,BRA,Williams BMW,2
Takuma Sato,23,JPN,BAR Honda,1
Vitantonio Liuzzi,24,ITA,RBR Cosworth,1
Robert Doornbos,25,MON,Minardi Cosworth,0
