,Position,Country,Car,Points
Ayrton Senna,1,BRA,McLaren Honda,90
Alain Prost,2,FRA,McLaren Honda,87
Gerhard Berger,3,AUT,Ferrari,41
Thierry Boutsen,4,BEL,Benetton Ford,27
Michele Alboreto,5,ITA,Ferrari,24
Nelson Piquet,6,BRA,Lotus Honda,22
Ivan Capelli,7,ITA,March Judd,17
Derek Warwick,8,GBR,Arrows Megatron,17
Nigel Mansell,9,GBR,Williams Judd,12
Alessandro Nannini,10,ITA,Benetton Ford,12
Riccardo Patrese,11,ITA,Williams Judd,8
Eddie  Cheever,12,USA,Arrows Megatron,6
Mauricio Gugelmin,13,BRA,March Judd,5
Jonathan  Palmer,14,GBR,Tyrrell Ford,5
Andrea de Cesaris,15,ITA,Rial Ford,3
Pierluigi Martini,16,ITA,Minardi Ford,1
Satoru Nakajima,17,JPN,Lotus Honda,1
