,Position,Country,Car,Points
Jody Scheckter,1,RSA,Ferrari,51
Gilles Villeneuve,2,CAN,Ferrari,47
Alan  Jones,3,AUS,Williams Ford,40
Jacques Laffite,4,FRA,Ligier Ford,36
Clay Regazzoni,5,SUI,Williams Ford,29
Patrick Depailler,6,FRA,Ligier Ford,20
Carlos Reutemann,6,ARG,Lotus Ford,20
Rene Arnoux,8,FRA,Renault,17
John Watson,9,GBR,McLaren Ford,15
Didier Pironi,10,FRA,Tyrrell Ford,14
Jean-Pierre Jarier,10,FRA,Tyrrell Ford,14
Mario Andretti,10,USA,Lotus Ford,14
Jean-Pierre Jabouille,13,FRA,Renault,9
Niki Lauda,14,AUT,Brabham Ford,4
Nelson Piquet,15,BRA,Brabham Ford,3
Elio de Angelis,15,ITA,Shadow Ford,3
Jacky Ickx,15,BEL,Ligier Ford,3
Jochen Mass,15,GER,Arrows Ford,3
Riccardo Patrese,19,ITA,Arrows Ford,2
Hans-Joachim Stuck,19,GER,ATS Ford,2
Emerson Fittipaldi,21,BRA,Fittipaldi Ford,1
