,Position,Country,Car,Points
Mike Hawthorn,1,GBR,Ferrari,42
Stirling Moss,2,GBR,Vanwall,41
Tony Brooks,3,GBR,Vanwall,24
Roy Salvadori,4,GBR,Cooper Climax,15
Peter Collins,5,GBR,Ferrari,14
Harry Schell,5,USA,BRM,14
Maurice  Trintignant,7,FRA,Cooper Climax,12
Luigi Musso,7,ITA,Ferrari,12
Stuart  Lewis-Evans ,9,GBR,Vanwall,11
Phil Hill,10,USA,Ferrari,9
Jean Behra,10,FRA,BRM,9
Wolfgang von Trips,10,GER,Ferrari,9
Jimmy Bryan,13,USA,Epperly Offenhauser,8
Juan Manuel Fangio,14,ARG,Maserati,7
George  Amick,15,USA,Epperly Offenhauser,6
Tony  Bettenhausen,16,USA,Epperly Offenhauser,4
Johnny  Boyd,16,USA,Kurtis Kraft Offenhauser,4
Jack Brabham,18,AUS,Cooper Climax,3
Cliff Allison,18,GBR,Lotus Climax,3
Jo Bonnier,18,SWE,BRM,3
Jim Rathmann,21,USA,Epperly Offenhauser,2
