,Position,Country,Car,Points
Nino Farina,1,ITA,Alfa Romeo,30
Juan Manuel Fangio,2,ARG,Alfa Romeo,27
Luigi Fagioli,3,ITA,Alfa Romeo,24
Louis  Rosier,4,FRA,Talbot-Lago,13
Alberto Ascari,5,ITA,,11
Johnnie  Parsons,6,USA,Kurtis Kraft Offenhauser,9
Bill Holland,7,USA,Deidt Offenhauser,6
Prince Bira,8,THA,Maserati,5
Reg  Parnell,9,GBR,Maserati,4
Louis  Chiron,9,MON,Maserati,4
Mauri  Rose,9,USA,Deidt Offenhauser,4
Peter  Whitehead,9,GBR,Ferrari,4
Yves Giraud-Cabantous,13,FRA,Talbot-Lago,3
Raymond  Sommer,13,FRA,Talbot-Lago,3
Cecil  Green,13,USA,Kurtis Kraft Offenhauser,3
Robert  Manzon,13,FRA,Simca-Gordini,3
Dorino  Serafini,13,ITA,,3
Philippe  Etancelin,13,FRA,,3
Felice  Bonetto,19,ITA,Milano Speluzzi,2
Tony  Bettenhausen,20,USA,Deidt Offenhauser,1
Joie  Chitwood,20,USA,Kurtis Kraft Offenhauser,1
Eugene  Chaboud,20,FRA,,1
