,Position,Country,Car,Points
Alberto Ascari,1,ITA,Ferrari,34.5
Juan Manuel Fangio,2,ARG,Maserati,27.5
Nino Farina,3,ITA,Ferrari,26
Mike Hawthorn,4,GBR,Ferrari,19
Luigi  Villoresi,5,ITA,Ferrari,17
Jose Froilan Gonzalez,6,ARG,Maserati,13.5
Bill  Vukovich ,7,USA,Kurtis Kraft Offenhauser,9
Toulo de Graffenried,8,SUI,Maserati,7
Felice  Bonetto,9,ITA,Maserati,6.5
Art Cross,10,USA,Kurtis Kraft Offenhauser,6
Onofre Marimon,11,ARG,Maserati,4
Maurice  Trintignant,11,FRA,Gordini,4
Oscar Alfredo Galvez,13,ARG,Maserati,2
Sam Hanks,13,USA,Kurtis Kraft Offenhauser,2
Duane Carter,13,USA,Kurtis Kraft Offenhauser,2
Jack McGrath,13,USA,Kurtis Kraft Offenhauser,2
Hermann Lang,13,GER,Maserati,2
Fred Agabashian,18,USA,Kurtis Kraft Offenhauser,1.5
Paul Russo,18,USA,Kurtis Kraft Offenhauser,1.5
