,Position,Country,Car,Points
Emerson Fittipaldi,1,BRA,Lotus Ford,61
Jackie Stewart,2,GBR,Tyrrell Ford,45
Denny Hulme,3,NZL,McLaren Ford,39
Jacky Ickx,4,BEL,Ferrari,27
Peter   Revson,5,USA,McLaren Ford,23
Francois  Cevert ,6,FRA,Tyrrell Ford,15
Clay Regazzoni,6,SUI,Ferrari,15
Mike Hailwood,8,GBR,Surtees Ford,13
Ronnie Peterson,9,SWE,March Ford,12
Chris Amon,9,NZL,Matra,12
Jean-Pierre Beltoise,11,FRA,BRM,9
Mario Andretti,12,USA,Ferrari,4
Howden  Ganley ,12,NZL,BRM,4
Brian   Redman,12,GBR,BRM,4
Graham Hill,12,GBR,Brabham Ford,4
Andrea de Adamich ,16,ITA,Surtees Ford,3
Carlos Reutemann,16,ARG,Brabham Ford,3
Carlos Pace,16,BRA,March Ford,3
Tim   Schenken,19,AUS,Surtees Ford,2
Arturo Merzario,20,ITA,Ferrari,1
Peter  Gethin ,20,GBR,BRM,1
