,Position,Country,Car,Points
Lewis Hamilton,1,GBR,Mercedes,347
Valtteri Bottas,2,FIN,Mercedes,223
Max Verstappen,3,NED,Red Bull Racing Honda,214
Sergio Perez,4,MEX,Racing Point BWT Mercedes,125
Daniel Ricciardo,5,AUS,Renault,119
Carlos Sainz,6,ESP,McLaren Renault,105
Alexander Albon,7,THA,Red Bull Racing Honda,105
Charles Leclerc,8,MON,Ferrari,98
Lando Norris,9,GBR,McLaren Renault,97
Pierre Gasly,10,FRA,AlphaTauri Honda,75
Lance Stroll,11,CAN,Racing Point BWT Mercedes,75
Esteban Ocon,12,FRA,Renault,62
Sebastian Vettel,13,GER,Ferrari,33
Daniil Kvyat,14,RUS,AlphaTauri Honda,32
Nico Hulkenberg,15,GER,Racing Point BWT Mercedes,10
Kimi Räikkönen,16,FIN,Alfa Romeo Racing Ferrari,4
Antonio Giovinazzi,17,ITA,Alfa Romeo Racing Ferrari,4
George Russell,18,GBR,Williams Mercedes,3
Romain Grosjean,19,FRA,Haas Ferrari,2
Kevin Magnussen,20,DEN,Haas Ferrari,1
Nicholas Latifi,21,CAN,Williams Mercedes,0
Jack Aitken,22,GBR,Williams Mercedes,0
Pietro Fittipaldi,23,BRA,Haas Ferrari,0
