,Position,Country,Car,Points
Sebastian Vettel,1,GER,Red Bull Racing Renault,392
Jenson Button,2,GBR,McLaren Mercedes,270
Mark Webber,3,AUS,Red Bull Racing Renault,258
Fernando Alonso,4,ESP,Ferrari,257
Lewis Hamilton,5,GBR,McLaren Mercedes,227
Felipe Massa,6,BRA,Ferrari,118
Nico Rosberg,7,GER,Mercedes,89
Michael Schumacher,8,GER,Mercedes,76
Adrian Sutil,9,GER,Force India Mercedes,42
Vitaly Petrov,10,RUS,Renault,37
Nick Heidfeld,11,GER,Renault,34
Kamui Kobayashi,12,JPN,Sauber Ferrari,30
Paul di Resta,13,GBR,Force India Mercedes,27
Jaime Alguersuari,14,ESP,STR Ferrari,26
Sebastien Buemi,15,SUI,STR Ferrari,15
Sergio Perez,16,MEX,Sauber Ferrari,14
Rubens Barrichello,17,BRA,Williams Cosworth,4
Bruno Senna,18,BRA,Renault,2
Pastor Maldonado,19,VEN,Williams Cosworth,1
Pedro de la Rosa,20,ESP,Sauber Ferrari,0
Jarno Trulli,21,ITA,Lotus Renault,0
Heikki Kovalainen,22,FIN,Lotus Renault,0
Vitantonio Liuzzi,23,ITA,HRT Cosworth,0
Jerome d'Ambrosio,24,BEL,Virgin Cosworth,0
Timo Glock,25,GER,Virgin Cosworth,0
Narain Karthikeyan,26,IND,HRT Cosworth,0
Daniel Ricciardo,27,AUS,HRT Cosworth,0
Karun Chandhok,28,IND,Lotus Renault,0
