,Position,Country,Car,Points
Kimi Räikkönen,1,FIN,Ferrari,110
Lewis Hamilton,2,GBR,McLaren Mercedes,109
Fernando Alonso,3,ESP,McLaren Mercedes,109
Felipe Massa,4,BRA,Ferrari,94
Nick Heidfeld,5,GER,Sauber BMW,61
Robert Kubica,6,POL,Sauber BMW,39
Heikki Kovalainen,7,FIN,Renault,30
Giancarlo Fisichella,8,ITA,Renault,21
Nico Rosberg,9,GER,Williams Toyota,20
David Coulthard,10,GBR,Red Bull Renault,14
Alexander Wurz,11,AUT,Williams Toyota,13
Mark Webber,12,AUS,Red Bull Renault,10
Jarno Trulli,13,ITA,Toyota,8
Sebastian Vettel,14,GER,STR Ferrari,6
Jenson Button,15,GBR,Honda,6
Ralf Schumacher,16,GER,Toyota,5
Takuma Sato,17,JPN,Super Aguri Honda,4
Vitantonio Liuzzi,18,ITA,STR Ferrari,3
Adrian Sutil,19,GER,Spyker Ferrari,1
Rubens Barrichello,20,BRA,Honda,0
Scott Speed,21,USA,STR Ferrari,0
Kazuki Nakajima,22,JPN,Williams Toyota,0
Anthony Davidson,23,GBR,Super Aguri Honda,0
Sakon Yamamoto,24,JPN,Spyker Ferrari,0
Christijan Albers,25,NED,Spyker Ferrari,0
