,Position,Country,Car,Points
Nelson Piquet,1,BRA,Brabham BMW,59
Alain Prost,2,FRA,Renault,57
Rene Arnoux,3,FRA,Ferrari,49
Patrick Tambay,4,FRA,Ferrari,40
Keke Rosberg,5,FIN,Williams Honda,27
John Watson,6,GBR,McLaren Ford,22
Eddie  Cheever,7,USA,Renault,22
Andrea de Cesaris,8,ITA,Alfa Romeo,15
Riccardo Patrese,9,ITA,Brabham BMW,13
Niki Lauda,10,AUT,McLaren TAG,12
Jacques Laffite,11,FRA,Williams Honda,11
Michele Alboreto,12,ITA,Tyrrell Ford,10
Nigel Mansell,13,GBR,Lotus Renault,10
Derek Warwick,14,GBR,Toleman Hart,9
Marc Surer,15,SUI,Arrows Ford,4
Mauro Baldi,16,ITA,Alfa Romeo,3
Elio de Angelis,17,ITA,Lotus Renault,2
Danny Sullivan,18,USA,Tyrrell Ford,2
Bruno Giacomelli,19,ITA,Toleman Hart,1
Johnny Cecotto,20,VEN,Theodore Ford,1
