,Position,Country,Car,Points
Alain Prost,1,FRA,McLaren TAG,72
Nigel Mansell,2,GBR,Williams Honda,70
Nelson Piquet,3,BRA,Williams Honda,69
Ayrton Senna,4,BRA,Lotus Renault,55
Stefan Johansson,5,SWE,Ferrari,23
Keke Rosberg,6,FIN,McLaren TAG,22
Gerhard Berger,7,AUT,Benetton BMW,17
Jacques Laffite,8,FRA,Ligier Renault,14
Michele Alboreto,9,ITA,Ferrari,14
Rene Arnoux,10,FRA,Ligier Renault,14
Martin Brundle,11,GBR,Tyrrell Renault,8
Alan  Jones,12,AUS,Lola Ford,4
Johnny Dumfries,13,GBR,Lotus Renault,3
Philippe Streiff,14,FRA,Tyrrell Renault,3
Teo Fabi,15,ITA,Benetton BMW,2
Patrick Tambay,16,FRA,Lola Ford,2
Riccardo Patrese,17,ITA,Brabham BMW,2
Philippe Alliot,18,FRA,Ligier Renault,1
Christian Danner,19,GER,Arrows BMW,1
