,Position,Country,Car,Points
Michael Schumacher,1,GER,Ferrari,108
Mika Hakkinen,2,FIN,McLaren Mercedes,89
David Coulthard,3,GBR,McLaren Mercedes,73
Rubens Barrichello,4,BRA,Ferrari,62
Ralf Schumacher,5,GER,Williams BMW,24
Giancarlo Fisichella,6,ITA,Benetton Playlife,18
Jacques Villeneuve,7,CAN,BAR Honda,17
Jenson Button,8,GBR,Williams BMW,12
Heinz-Harald Frentzen,9,GER,Jordan Mugen Honda,11
Jarno Trulli,10,ITA,Jordan Mugen Honda,6
Mika Salo,11,FIN,Sauber Petronas,6
Jos Verstappen,12,NED,Arrows Supertec,5
Eddie Irvine,13,GBR,Jaguar Cosworth,4
Ricardo Zonta,14,BRA,BAR Honda,3
Alexander Wurz,15,AUT,Benetton Playlife,2
Pedro de la Rosa,16,ESP,Arrows Supertec,2
Pedro Diniz,17,BRA,Sauber Petronas,0
Johnny Herbert,18,GBR,Jaguar Cosworth,0
Marc Gene,19,ESP,Minardi Fondmetal,0
Gaston Mazzacane,20,ARG,Minardi Fondmetal,0
Nick Heidfeld,21,GER,Prost Peugeot,0
Jean Alesi,22,FRA,Prost Peugeot,0
Luciano Burti,23,BRA,Jaguar Cosworth,0
