,Position,Country,Car,Points
Lewis Hamilton,1,GBR,McLaren Mercedes,98
Felipe Massa,2,BRA,Ferrari,97
Kimi Räikkönen,3,FIN,Ferrari,75
Robert Kubica,4,POL,Sauber BMW,75
Fernando Alonso,5,ESP,Renault,61
Nick Heidfeld,6,GER,Sauber BMW,60
Heikki Kovalainen,7,FIN,McLaren Mercedes,53
Sebastian Vettel,8,GER,STR Ferrari,35
Jarno Trulli,9,ITA,Toyota,31
Timo Glock,10,GER,Toyota,25
Mark Webber,11,AUS,Red Bull Renault,21
Nelson Piquet,12,BRA,Renault,19
Nico Rosberg,13,GER,Williams Toyota,17
Rubens Barrichello,14,BRA,Honda,11
Kazuki Nakajima,15,JPN,Williams Toyota,9
David Coulthard,16,GBR,Red Bull Renault,8
Sebastien Bourdais,17,FRA,STR Ferrari,4
Jenson Button,18,GBR,Honda,3
Giancarlo Fisichella,19,ITA,Force India Ferrari,0
Adrian Sutil,20,GER,Force India Ferrari,0
Takuma Sato,21,JPN,Super Aguri Honda,0
Anthony Davidson,22,GBR,Super Aguri Honda,0
