,Position,Country,Car,Points
Ayrton Senna,1,BRA,McLaren Honda,96
Nigel Mansell,2,GBR,Williams Renault,72
Riccardo Patrese,3,ITA,Williams Renault,53
Gerhard Berger,4,AUT,McLaren Honda,43
Alain Prost,5,FRA,Ferrari,34
Nelson Piquet,6,BRA,Benetton Ford,26.5
Jean Alesi,7,FRA,Ferrari,21
Stefano Modena,8,ITA,Tyrrell Honda,10
Andrea de Cesaris,9,ITA,Jordan Ford,9
Roberto Moreno,10,BRA,Minardi Ferrari,8
Pierluigi Martini,11,ITA,Minardi Ferrari,6
Jyrki Jarvilehto,12,FIN,Dallara Judd,4
Bertrand Gachot,12,FRA,Jordan Ford,4
Michael Schumacher,12,GER,Benetton Ford,4
Mika Hakkinen,15,FIN,Lotus Judd,2
Martin Brundle,15,GBR,Brabham Yamaha,2
Satoru Nakajima,15,JPN,Tyrrell Honda,2
Julian Bailey,18,GBR,Lotus Judd,1
Eric Bernard,18,FRA,Lola Ford,1
Ivan Capelli,18,ITA,Leyton House Ilmor,1
Aguri Suzuki,18,JPN,Lola Ford,1
Emanuele Pirro,18,ITA,Dallara Judd,1
Mark Blundell,18,GBR,Brabham Yamaha,1
Gianni Morbidelli,24,ITA,Ferrari,0.5
