,Position,Country,Car,Points
Nigel Mansell,1,GBR,Williams Renault,108
Riccardo Patrese,2,ITA,Williams Renault,56
Michael Schumacher,3,GER,Benetton Ford,53
Ayrton Senna,4,BRA,McLaren Honda,50
Gerhard Berger,5,AUT,McLaren Honda,49
Martin Brundle,6,GBR,Benetton Ford,38
Jean Alesi,7,FRA,Ferrari,18
Mika Hakkinen,8,FIN,Lotus Ford,11
Andrea de Cesaris,9,ITA,Tyrrell Ilmor,8
Michele Alboreto,10,ITA,Footwork Mugen Honda,6
Erik Comas,11,FRA,Ligier Renault,4
Karl Wendlinger,12,AUT,March Ilmor,3
Ivan Capelli,12,ITA,Ferrari,3
Thierry Boutsen,14,BEL,Ligier Renault,2
Pierluigi Martini,15,ITA,Dallara Ferrari,2
Johnny Herbert,16,GBR,Lotus Ford,2
Stefano Modena,17,ITA,Jordan Yamaha,1
Christian Fittipaldi,18,BRA,Minardi Lamborghini,1
Bertrand Gachot,19,FRA,Venturi Lamborghini,1
