,Position,Country,Car,Points
Jack Brabham,1,AUS,Brabham Repco,42
John Surtees,2,GBR,Cooper Maserati,28
Jochen Rindt,3,AUT,Cooper Maserati,22
Denny Hulme,4,NZL,Brabham Repco,18
Graham Hill,5,GBR,BRM,17
Jim Clark,6,GBR,Lotus BRM,16
Jackie Stewart,7,GBR,BRM,14
Mike  Parkes ,8,GBR,Ferrari,12
Lorenzo Bandini,8,ITA,Ferrari,12
Ludovico Scarfiotti,10,ITA,Ferrari,9
Richie Ginther,11,USA,Honda,5
Dan Gurney,12,USA,Eagle Climax,4
Mike Spence,12,GBR,Lotus BRM,4
Bob Bondurant,14,USA,Eagle Weslake,3
Jo Siffert,14,SUI,Cooper Maserati,3
Bruce McLaren,14,NZL,McLaren Ford,3
John  Taylor ,17,GBR,Brabham BRM,1
Bob Anderson,17,GBR,Brabham Climax,1
Peter  Arundell ,17,GBR,Lotus BRM,1
Jo Bonnier,17,SWE,Cooper Maserati,1
