,Position,Country,Car,Points
Jackie Stewart,1,GBR,Tyrrell Ford,62
Ronnie Peterson,2,SWE,March Ford,33
Francois  Cevert ,3,FRA,Tyrrell Ford,26
Jacky Ickx,4,BEL,Ferrari,19
Jo Siffert,4,SUI,BRM,19
Emerson Fittipaldi,6,BRA,Lotus Ford,16
Clay Regazzoni,7,SUI,Ferrari,13
Mario Andretti,8,USA,Ferrari,12
Peter  Gethin ,9,GBR,BRM,9
Pedro Rodriguez,9,MEX,BRM,9
Chris Amon,9,NZL,Matra,9
Reine   Wisell,9,SWE,Lotus Ford,9
Denny Hulme,9,NZL,McLaren Ford,9
Tim   Schenken,14,AUS,Brabham Ford,5
Howden  Ganley ,14,NZL,BRM,5
Mark Donohue,16,USA,,4
Henri Pescarolo,16,FRA,March Ford,4
Mike Hailwood,18,GBR,Surtees Ford,3
John Surtees,18,GBR,Surtees Ford,3
Rolf Stommelen,18,GER,Surtees Ford,3
Graham Hill,21,GBR,Brabham Ford,2
Jean-Pierre Beltoise,22,FRA,Matra,1
