,Position,Country,Car,Points
Keke Rosberg,1,FIN,Williams Ford,44
Didier Pironi,2,FRA,Ferrari,39
John Watson,2,GBR,McLaren Ford,39
Alain Prost,4,FRA,Renault,34
Niki Lauda,5,AUT,McLaren Ford,30
Rene Arnoux,6,FRA,Renault,28
Patrick Tambay,7,FRA,Ferrari,25
Michele Alboreto,7,ITA,Tyrrell Ford,25
Elio de Angelis,9,ITA,Lotus Ford,23
Riccardo Patrese,10,ITA,Brabham BMW,21
Nelson Piquet,11,BRA,Brabham BMW,20
Eddie  Cheever,12,USA,Ligier Matra,15
Derek Daly,13,IRL,Williams Ford,8
Nigel Mansell,14,GBR,Lotus Ford,7
Carlos Reutemann,15,ARG,Williams Ford,6
Gilles Villeneuve,15,CAN,Ferrari,6
Andrea de Cesaris,17,ITA,Alfa Romeo,5
Jacques Laffite,17,FRA,Ligier Matra,5
Mario Andretti,19,USA,Ferrari,4
Jean-Pierre Jarier,20,FRA,Osella Ford,3
Marc Surer,20,SUI,Arrows Ford,3
Manfred Winkelhock,22,GER,ATS Ford,2
Eliseo Salazar,22,CHI,ATS Ford,2
Bruno Giacomelli,22,ITA,Alfa Romeo,2
Mauro Baldi,22,ITA,Arrows Ford,2
Chico Serra,26,BRA,Fittipaldi Ford,1
