,Position,Country,Car,Points
Juan Manuel Fangio,1,ARG,Mercedes-Benz,40
Stirling Moss,2,GBR,Mercedes-Benz,23
Eugenio Castellotti,3,ITA,Ferrari,12
Maurice  Trintignant,4,FRA,Ferrari,11.3
Nino Farina,5,ITA,Ferrari,10.3
Piero  Taruffi,6,ITA,Mercedes-Benz,9
Bob Sweikert,7,USA,Kurtis Kraft Offenhauser,8
Roberto Mieres,8,ARG,Maserati,7
Luigi Musso,9,ITA,Maserati,6
Jean Behra,9,FRA,Maserati,6
Karl Kling,11,GER,Mercedes-Benz,5
Jimmy Davies,12,USA,Kurtis Kraft Offenhauser,4
Paul Russo,13,USA,Kurtis Kraft Offenhauser,3
Tony  Bettenhausen,13,USA,Kurtis Kraft Offenhauser,3
Johnny Thomson,13,USA,Kuzma Offenhauser,3
Paul Frere,13,BEL,Ferrari,3
Jose Froilan Gonzalez,17,ARG,Ferrari,2
Cesare Perdisa,17,ITA,Maserati,2
Luigi  Villoresi,17,ITA,Lancia,2
Carlos Menditeguy,17,ARG,Maserati,2
Umberto  Maglioli,21,ITA,Ferrari,1.3
Hans  Herrmann,22,GER,Mercedes-Benz,1
Walt  Faulkner,22,USA,Kurtis Kraft Offenhauser,1
Bill Homeier,22,USA,Kurtis Kraft Offenhauser,1
Bill  Vukovich ,22,USA,Kurtis Kraft Offenhauser,1
