,Position,Country,Car,Points
Juan Manuel Fangio,1,ARG,Maserati,40
Stirling Moss,2,GBR,Vanwall,25
Luigi Musso,3,ITA,Ferrari,16
Mike Hawthorn,4,GBR,Ferrari,13
Tony Brooks,5,GBR,Vanwall,11
Masten Gregory,6,USA,Maserati,10
Harry Schell,6,USA,Maserati,10
Sam Hanks,8,USA,Epperly Offenhauser,8
Peter Collins,8,GBR,Ferrari,8
Jim Rathmann,10,USA,Epperly Offenhauser,7
Jean Behra,11,FRA,Maserati,6
Stuart  Lewis-Evans ,12,GBR,Vanwall,5
Maurice  Trintignant,12,FRA,Ferrari,5
Carlos Menditeguy,14,ARG,Maserati,4
Jimmy Bryan,14,USA,Kuzma Offenhauser,4
Wolfgang von Trips,14,GER,Ferrari,4
Paul Russo,17,USA,Kurtis Kraft Novi,3
Andy Linden,18,USA,Kurtis Kraft Offenhauser,2
Roy Salvadori,18,GBR,Cooper Climax,2
Alfonso de Portago ,20,ESP,Ferrari,1
Jose Froilan Gonzalez,20,ARG,Ferrari,1
Giorgio  Scarlatti ,20,ITA,Maserati,1
