,Position,Country,Car,Points
Alain Prost,1,FRA,Williams Renault,99
Ayrton Senna,2,BRA,McLaren Ford,73
Damon Hill,3,GBR,Williams Renault,69
Michael Schumacher,4,GER,Benetton Ford,52
Riccardo Patrese,5,ITA,Benetton Ford,20
Jean Alesi,6,FRA,Ferrari,16
Martin Brundle,7,GBR,Ligier Renault,13
Gerhard Berger,8,AUT,Ferrari,12
Johnny Herbert,9,GBR,Lotus Ford,11
Mark Blundell,10,GBR,Ligier Renault,10
Michael Andretti,11,USA,McLaren Ford,7
Karl Wendlinger,12,AUT,Sauber,7
Christian Fittipaldi,13,BRA,Minardi Ford,5
Jyrki Jarvilehto,13,FIN,Sauber,5
Mika Hakkinen,15,FIN,McLaren Ford,4
Derek Warwick,16,GBR,Footwork Mugen Honda,4
Philippe Alliot,17,FRA,Larrousse Lamborghini,2
Rubens Barrichello,17,BRA,Jordan Hart,2
Fabrizio Barbazza,19,ITA,Minardi Ford,2
Alessandro Zanardi,20,ITA,Lotus Ford,1
Erik Comas,20,FRA,Larrousse Lamborghini,1
Eddie Irvine,20,GBR,Jordan Hart,1
