,Position,Country,Car,Points
Jackie Stewart,1,GBR,Matra Ford,63
Jacky Ickx,2,BEL,Brabham Ford,37
Bruce McLaren,3,NZL,McLaren Ford,26
Jochen Rindt,4,AUT,Lotus Ford,22
Jean-Pierre Beltoise,5,FRA,Matra Ford,21
Denny Hulme,6,NZL,McLaren Ford,20
Graham Hill,7,GBR,Lotus Ford,19
Piers   Courage,8,GBR,Brabham Ford,16
Jo Siffert,9,SUI,Lotus Ford,15
Jack Brabham,10,AUS,Brabham Ford,14
John Surtees,11,GBR,BRM,6
Chris Amon,12,NZL,Ferrari,4
Richard Attwood,13,GBR,Brabham Ford,3
Vic  Elford ,13,GBR,McLaren Ford,3
Pedro Rodriguez,13,MEX,Ferrari,3
Johnny  Servoz-Gavin ,16,FRA,Matra Ford,1
Silvio  Moser ,16,SUI,Brabham Ford,1
Jackie Oliver,16,GBR,BRM,1
