,Position,Country,Car,Points
Mika Hakkinen,1,FIN,McLaren Mercedes,76
Eddie Irvine,2,GBR,Ferrari,74
Heinz-Harald Frentzen,3,GER,Jordan Mugen Honda,54
David Coulthard,4,GBR,McLaren Mercedes,48
Michael Schumacher,5,GER,Ferrari,44
Ralf Schumacher,6,GER,Williams Supertec,35
Rubens Barrichello,7,BRA,Stewart Ford,21
Johnny Herbert,8,GBR,Stewart Ford,15
Giancarlo Fisichella,9,ITA,Benetton Playlife,13
Mika Salo,10,FIN,Ferrari,10
Jarno Trulli,11,ITA,Prost Peugeot,7
Damon Hill,12,GBR,Jordan Mugen Honda,7
Alexander Wurz,13,AUT,Benetton Playlife,3
Pedro Diniz,14,BRA,Sauber Petronas,3
Olivier Panis,15,FRA,Prost Peugeot,2
Jean Alesi,16,FRA,Sauber Petronas,2
Pedro de la Rosa,17,ESP,Arrows,1
Marc Gene,18,ESP,Minardi Ford,1
