,Position,Country,Car,Points
Michael Schumacher,1,GER,Ferrari,93
Kimi Räikkönen,2,FIN,McLaren Mercedes,91
Juan Pablo Montoya,3,COL,Williams BMW,82
Rubens Barrichello,4,BRA,Ferrari,65
Ralf Schumacher,5,GER,Williams BMW,58
Fernando Alonso,6,ESP,Renault,55
David Coulthard,7,GBR,McLaren Mercedes,51
Jarno Trulli,8,ITA,Renault,33
Jenson Button,9,GBR,BAR Honda,17
Mark Webber,10,AUS,Jaguar Cosworth,17
Heinz-Harald Frentzen,11,GER,Sauber Petronas,13
Giancarlo Fisichella,12,ITA,Jordan Ford,12
Cristiano da Matta,13,BRA,Toyota,10
Nick Heidfeld,14,GER,Sauber Petronas,6
Olivier Panis,15,FRA,Toyota,6
Jacques Villeneuve,16,CAN,BAR Honda,6
Marc Gene,17,ESP,Williams BMW,4
Takuma Sato,18,JPN,BAR Honda,3
Ralph Firman,19,IRL,Jordan Ford,1
Justin Wilson,20,GBR,Jaguar Cosworth,1
Antonio Pizzonia,21,BRA,Jaguar Cosworth,0
Jos Verstappen,22,NED,Minardi Cosworth,0
Nicolas Kiesa,23,DEN,Minardi Cosworth,0
Zsolt Baumgartner,24,HUN,Jordan Ford,0
