,Position,Country,Car,Points
Jack Brabham,1,AUS,Cooper Climax,31
Tony Brooks,2,GBR,Ferrari,27
Stirling Moss,3,GBR,Cooper Climax,25.5
Phil Hill,4,USA,Ferrari,20
Maurice  Trintignant,5,FRA,Cooper Climax,19
Bruce McLaren,6,NZL,Cooper Climax,16.5
Dan Gurney,7,USA,Ferrari,13
Jo Bonnier,8,SWE,BRM,10
Masten Gregory,8,USA,Cooper Climax,10
Rodger Ward,10,USA,Kurtis Kraft Offenhauser,8
Jim Rathmann,11,USA,Watson Offenhauser,6
Johnny Thomson,12,USA,Lesovsky Offenhauser,5
Innes Ireland,12,GBR,Lotus Climax,5
Harry Schell,12,USA,Cooper Climax,5
Tony  Bettenhausen,15,USA,Epperly Offenhauser,3
Olivier  Gendebien,15,BEL,Ferrari,3
Paul Goldsmith,17,USA,Epperly Offenhauser,2
Jean Behra,17,FRA,Ferrari,2
Cliff Allison,17,GBR,Ferrari,2
