,Position,Country,Car,Points
Damon Hill,1,GBR,Williams Renault,97
Jacques Villeneuve,2,CAN,Williams Renault,78
Michael Schumacher,3,GER,Ferrari,59
Jean Alesi,4,FRA,Benetton Renault,47
Mika Hakkinen,5,FIN,McLaren Mercedes,31
Gerhard Berger,6,AUT,Benetton Renault,21
David Coulthard,7,GBR,McLaren Mercedes,18
Rubens Barrichello,8,BRA,Jordan Peugeot,14
Olivier Panis,9,FRA,Ligier Mugen Honda,13
Eddie Irvine,10,GBR,Ferrari,11
Martin Brundle,11,GBR,Jordan Peugeot,8
Heinz-Harald Frentzen,12,GER,Sauber Ford,7
Mika Salo,13,FIN,Tyrrell Yamaha,5
Johnny Herbert,14,GBR,Sauber Ford,4
Pedro Diniz,15,BRA,Ligier Mugen Honda,2
Jos Verstappen,16,NED,Footwork Hart,1
