,Position,Country,Car,Points
Juan Manuel Fangio,1,ARG,Mercedes-Benz,42
Jose Froilan Gonzalez,2,ARG,Ferrari,25.1
Mike Hawthorn,3,GBR,Ferrari,24.6
Maurice  Trintignant,4,FRA,Ferrari,17
Karl Kling,5,GER,Mercedes-Benz,12
Bill  Vukovich ,6,USA,Kurtis Kraft Offenhauser,8
Hans  Herrmann,6,GER,Mercedes-Benz,8
Nino Farina,8,ITA,Ferrari,6
Jimmy Bryan,8,USA,Kuzma Offenhauser,6
Luigi Musso,8,ITA,Maserati,6
Roberto Mieres,8,ARG,Maserati,6
Jack McGrath,12,USA,Kurtis Kraft Offenhauser,5
Stirling Moss,13,GBR,Maserati,4.1
Onofre Marimon,13,ARG,Maserati,4.1
Robert  Manzon,15,FRA,Ferrari,4
Sergio Mantovani,15,ITA,Maserati,4
Prince Bira,17,THA,Maserati,3
Elie Bayol,18,FRA,Gordini,2
Mike Nazaruk,18,USA,Kurtis Kraft Offenhauser,2
Andre Pilette,18,BEL,Gordini,2
Luigi  Villoresi,18,ITA,Lancia,2
Umberto  Maglioli,18,ITA,Ferrari,2
Troy Ruttman,23,USA,Kurtis Kraft Offenhauser,1.5
Duane Carter,23,USA,Kurtis Kraft Offenhauser,1.5
Alberto Ascari,25,ITA,Lancia,1.1
Jean Behra,26,FRA,Gordini,0.1
